VaruTjanstegrupp,ContentsCode,Tid,VaruTjanstegrupp_label,ContentsCode_label,Tid_label,value
01,0000080H,2015M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M01,88.66
01,0000080H,2015M02,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M02,89.42
01,0000080H,2015M03,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M03,89.52
01,0000080H,2015M04,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M04,89.98
01,0000080H,2015M05,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M05,90.62
01,0000080H,2015M06,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M06,90.13
01,0000080H,2015M07,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M07,90.92
01,0000080H,2015M08,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M08,91.01
01,0000080H,2015M09,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M09,90.81
01,0000080H,2015M10,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M10,91.08
01,0000080H,2015M11,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M11,90.7
01,0000080H,2015M12,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2015M12,90.31
01,0000080H,2016M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M01,90.6
01,0000080H,2016M02,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M02,90.88
01,0000080H,2016M03,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M03,91.3
01,0000080H,2016M04,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M04,91.39
01,0000080H,2016M05,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M05,91.43
01,0000080H,2016M06,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M06,90.64
01,0000080H,2016M07,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M07,91.78
01,0000080H,2016M08,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M08,91.36
01,0000080H,2016M09,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M09,90.88
01,0000080H,2016M10,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M10,91.27
01,0000080H,2016M11,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M11,91.24
01,0000080H,2016M12,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2016M12,91.75
01,0000080H,2017M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M01,92.13
01,0000080H,2017M02,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M02,92.76
01,0000080H,2017M03,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M03,92.77
01,0000080H,2017M04,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M04,92.71
01,0000080H,2017M05,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M05,92.78
01,0000080H,2017M06,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M06,92.7
01,0000080H,2017M07,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M07,93.71
01,0000080H,2017M08,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M08,93.67
01,0000080H,2017M09,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M09,93.26
01,0000080H,2017M10,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M10,93.5
01,0000080H,2017M11,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M11,93.52
01,0000080H,2017M12,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2017M12,94.35
01,0000080H,2018M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M01,94.2
01,0000080H,2018M02,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M02,94.39
01,0000080H,2018M03,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M03,94.63
01,0000080H,2018M04,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M04,95.01
01,0000080H,2018M05,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M05,95.6
01,0000080H,2018M06,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M06,94.88
01,0000080H,2018M07,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M07,96.09
01,0000080H,2018M08,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M08,95.69
01,0000080H,2018M09,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M09,96.15
01,0000080H,2018M10,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M10,95.62
01,0000080H,2018M11,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M11,95.49
01,0000080H,2018M12,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2018M12,96.07
01,0000080H,2019M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M01,95.69
01,0000080H,2019M02,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M02,96.9
01,0000080H,2019M03,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M03,97.61
01,0000080H,2019M04,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M04,97.45
01,0000080H,2019M05,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M05,97.52
01,0000080H,2019M06,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M06,97.63
01,0000080H,2019M07,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M07,99.66
01,0000080H,2019M08,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M08,98.78
01,0000080H,2019M09,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M09,98.66
01,0000080H,2019M10,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M10,98.19
01,0000080H,2019M11,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M11,98.49
01,0000080H,2019M12,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2019M12,98.52
01,0000080H,2020M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M01,98.02
01,0000080H,2020M02,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M02,99.3
01,0000080H,2020M03,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M03,100.05
01,0000080H,2020M04,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M04,100.87
01,0000080H,2020M05,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M05,101.28
01,0000080H,2020M06,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M06,100.18
01,0000080H,2020M07,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M07,101.19
01,0000080H,2020M08,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M08,100.78
01,0000080H,2020M09,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M09,99.57
01,0000080H,2020M10,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M10,99.64
01,0000080H,2020M11,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M11,99.62
01,0000080H,2020M12,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2020M12,99.5
01,0000080H,2021M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M01,99.88
01,0000080H,2021M02,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M02,99.45
01,0000080H,2021M03,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M03,100
01,0000080H,2021M04,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M04,100.37
01,0000080H,2021M05,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M05,100.31
01,0000080H,2021M06,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M06,99.9
01,0000080H,2021M07,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M07,100.95
01,0000080H,2021M08,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M08,101.1
01,0000080H,2021M09,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M09,100.44
01,0000080H,2021M10,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M10,100.79
01,0000080H,2021M11,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M11,100.63
01,0000080H,2021M12,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2021M12,101.21
01,0000080H,2022M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M01,101.82
01,0000080H,2022M02,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M02,103.39
01,0000080H,2022M03,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M03,105.8
01,0000080H,2022M04,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M04,107.01
01,0000080H,2022M05,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M05,109.1
01,0000080H,2022M06,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M06,110.98
01,0000080H,2022M07,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M07,114.51
01,0000080H,2022M08,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M08,115.24
01,0000080H,2022M09,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M09,116.52
01,0000080H,2022M10,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M10,118.08
01,0000080H,2022M11,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M11,118.71
01,0000080H,2022M12,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2022M12,119.58
01,0000080H,2023M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M01,121.66
01,0000080H,2023M02,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M02,124.95
01,0000080H,2023M03,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M03,126.52
01,0000080H,2023M04,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M04,125.02
01,0000080H,2023M05,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M05,124.53
01,0000080H,2023M06,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M06,124.92
01,0000080H,2023M07,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M07,126.57
01,0000080H,2023M08,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M08,125.65
01,0000080H,2023M09,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M09,125.45
01,0000080H,2023M10,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M10,125.94
01,0000080H,2023M11,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M11,126.13
01,0000080H,2023M12,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2023M12,125.94
01,0000080H,2024M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M01,126.32
01,0000080H,2024M02,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M02,126.48
01,0000080H,2024M03,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M03,125.63
01,0000080H,2024M04,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M04,125.83
01,0000080H,2024M05,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M05,126.35
01,0000080H,2024M06,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M06,126.25
01,0000080H,2024M07,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M07,127.94
01,0000080H,2024M08,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M08,127.37
01,0000080H,2024M09,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M09,128.1
01,0000080H,2024M10,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M10,128.1
01,0000080H,2024M11,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M11,128.51
01,0000080H,2024M12,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2024M12,128.1
01,0000080H,2025M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M01,129.07
01,0000080H,2025M02,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M02,131.41
01,0000080H,2025M03,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M03,132.44
01,0000080H,2025M04,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M04,132.71
01,0000080H,2025M05,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M05,132.92
01,0000080H,2025M06,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M06,132.97
01,0000080H,2025M07,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M07,134.39
01,0000080H,2025M08,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M08,133.39
01,0000080H,2025M09,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M09,132.36
01,0000080H,2025M10,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M10,132.87
01,0000080H,2025M11,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M11,132.48
01,0000080H,2025M12,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2025M12,132.85
01,0000080H,2026M01,FOOD AND NON-ALCOHOLIC BEVERAGES,Index,2026M01,133.21
