SPIN2015,ContentsCode,Tid,SPIN2015_label,ContentsCode_label,Tid_label,value
10,000000SA,2015M01,Food products,Producer Price Index (PPI),2015M01,86.5
10,000000SA,2015M02,Food products,Producer Price Index (PPI),2015M02,87
10,000000SA,2015M03,Food products,Producer Price Index (PPI),2015M03,86.9
10,000000SA,2015M04,Food products,Producer Price Index (PPI),2015M04,87.1
10,000000SA,2015M05,Food products,Producer Price Index (PPI),2015M05,87.5
10,000000SA,2015M06,Food products,Producer Price Index (PPI),2015M06,87.9
10,000000SA,2015M07,Food products,Producer Price Index (PPI),2015M07,88.1
10,000000SA,2015M08,Food products,Producer Price Index (PPI),2015M08,87.9
10,000000SA,2015M09,Food products,Producer Price Index (PPI),2015M09,87.3
10,000000SA,2015M10,Food products,Producer Price Index (PPI),2015M10,87.4
10,000000SA,2015M11,Food products,Producer Price Index (PPI),2015M11,87.2
10,000000SA,2015M12,Food products,Producer Price Index (PPI),2015M12,87.3
10,000000SA,2016M01,Food products,Producer Price Index (PPI),2016M01,87
10,000000SA,2016M02,Food products,Producer Price Index (PPI),2016M02,87
10,000000SA,2016M03,Food products,Producer Price Index (PPI),2016M03,88
10,000000SA,2016M04,Food products,Producer Price Index (PPI),2016M04,87.5
10,000000SA,2016M05,Food products,Producer Price Index (PPI),2016M05,87.9
10,000000SA,2016M06,Food products,Producer Price Index (PPI),2016M06,88.2
10,000000SA,2016M07,Food products,Producer Price Index (PPI),2016M07,88.7
10,000000SA,2016M08,Food products,Producer Price Index (PPI),2016M08,88.6
10,000000SA,2016M09,Food products,Producer Price Index (PPI),2016M09,88.6
10,000000SA,2016M10,Food products,Producer Price Index (PPI),2016M10,89
10,000000SA,2016M11,Food products,Producer Price Index (PPI),2016M11,89.9
10,000000SA,2016M12,Food products,Producer Price Index (PPI),2016M12,89.8
10,000000SA,2017M01,Food products,Producer Price Index (PPI),2017M01,90.5
10,000000SA,2017M02,Food products,Producer Price Index (PPI),2017M02,91.1
10,000000SA,2017M03,Food products,Producer Price Index (PPI),2017M03,92
10,000000SA,2017M04,Food products,Producer Price Index (PPI),2017M04,92.4
10,000000SA,2017M05,Food products,Producer Price Index (PPI),2017M05,92.7
10,000000SA,2017M06,Food products,Producer Price Index (PPI),2017M06,92.4
10,000000SA,2017M07,Food products,Producer Price Index (PPI),2017M07,92.8
10,000000SA,2017M08,Food products,Producer Price Index (PPI),2017M08,92.3
10,000000SA,2017M09,Food products,Producer Price Index (PPI),2017M09,92
10,000000SA,2017M10,Food products,Producer Price Index (PPI),2017M10,92.3
10,000000SA,2017M11,Food products,Producer Price Index (PPI),2017M11,92.2
10,000000SA,2017M12,Food products,Producer Price Index (PPI),2017M12,92.2
10,000000SA,2018M01,Food products,Producer Price Index (PPI),2018M01,92.7
10,000000SA,2018M02,Food products,Producer Price Index (PPI),2018M02,92.8
10,000000SA,2018M03,Food products,Producer Price Index (PPI),2018M03,93.2
10,000000SA,2018M04,Food products,Producer Price Index (PPI),2018M04,93.2
10,000000SA,2018M05,Food products,Producer Price Index (PPI),2018M05,94.2
10,000000SA,2018M06,Food products,Producer Price Index (PPI),2018M06,94.7
10,000000SA,2018M07,Food products,Producer Price Index (PPI),2018M07,94.3
10,000000SA,2018M08,Food products,Producer Price Index (PPI),2018M08,94.3
10,000000SA,2018M09,Food products,Producer Price Index (PPI),2018M09,94.9
10,000000SA,2018M10,Food products,Producer Price Index (PPI),2018M10,95.4
10,000000SA,2018M11,Food products,Producer Price Index (PPI),2018M11,95.9
10,000000SA,2018M12,Food products,Producer Price Index (PPI),2018M12,96
10,000000SA,2019M01,Food products,Producer Price Index (PPI),2019M01,96.5
10,000000SA,2019M02,Food products,Producer Price Index (PPI),2019M02,96.6
10,000000SA,2019M03,Food products,Producer Price Index (PPI),2019M03,97.3
10,000000SA,2019M04,Food products,Producer Price Index (PPI),2019M04,97.2
10,000000SA,2019M05,Food products,Producer Price Index (PPI),2019M05,97.7
10,000000SA,2019M06,Food products,Producer Price Index (PPI),2019M06,98
10,000000SA,2019M07,Food products,Producer Price Index (PPI),2019M07,98.1
10,000000SA,2019M08,Food products,Producer Price Index (PPI),2019M08,97.9
10,000000SA,2019M09,Food products,Producer Price Index (PPI),2019M09,98
10,000000SA,2019M10,Food products,Producer Price Index (PPI),2019M10,97.3
10,000000SA,2019M11,Food products,Producer Price Index (PPI),2019M11,97.7
10,000000SA,2019M12,Food products,Producer Price Index (PPI),2019M12,98.1
10,000000SA,2020M01,Food products,Producer Price Index (PPI),2020M01,98.6
10,000000SA,2020M02,Food products,Producer Price Index (PPI),2020M02,99.3
10,000000SA,2020M03,Food products,Producer Price Index (PPI),2020M03,99.4
10,000000SA,2020M04,Food products,Producer Price Index (PPI),2020M04,100.1
10,000000SA,2020M05,Food products,Producer Price Index (PPI),2020M05,99.9
10,000000SA,2020M06,Food products,Producer Price Index (PPI),2020M06,100.2
10,000000SA,2020M07,Food products,Producer Price Index (PPI),2020M07,100.2
10,000000SA,2020M08,Food products,Producer Price Index (PPI),2020M08,100.4
10,000000SA,2020M09,Food products,Producer Price Index (PPI),2020M09,99.8
10,000000SA,2020M10,Food products,Producer Price Index (PPI),2020M10,100.6
10,000000SA,2020M11,Food products,Producer Price Index (PPI),2020M11,100.7
10,000000SA,2020M12,Food products,Producer Price Index (PPI),2020M12,100.9
10,000000SA,2021M01,Food products,Producer Price Index (PPI),2021M01,100.8
10,000000SA,2021M02,Food products,Producer Price Index (PPI),2021M02,101.2
10,000000SA,2021M03,Food products,Producer Price Index (PPI),2021M03,101.5
10,000000SA,2021M04,Food products,Producer Price Index (PPI),2021M04,102.2
10,000000SA,2021M05,Food products,Producer Price Index (PPI),2021M05,102.4
10,000000SA,2021M06,Food products,Producer Price Index (PPI),2021M06,103
10,000000SA,2021M07,Food products,Producer Price Index (PPI),2021M07,103.6
10,000000SA,2021M08,Food products,Producer Price Index (PPI),2021M08,103.9
10,000000SA,2021M09,Food products,Producer Price Index (PPI),2021M09,104.2
10,000000SA,2021M10,Food products,Producer Price Index (PPI),2021M10,104.5
10,000000SA,2021M11,Food products,Producer Price Index (PPI),2021M11,105.3
10,000000SA,2021M12,Food products,Producer Price Index (PPI),2021M12,106.2
10,000000SA,2022M01,Food products,Producer Price Index (PPI),2022M01,108.5
10,000000SA,2022M02,Food products,Producer Price Index (PPI),2022M02,110
10,000000SA,2022M03,Food products,Producer Price Index (PPI),2022M03,113.3
10,000000SA,2022M04,Food products,Producer Price Index (PPI),2022M04,116.7
10,000000SA,2022M05,Food products,Producer Price Index (PPI),2022M05,120.9
10,000000SA,2022M06,Food products,Producer Price Index (PPI),2022M06,122
10,000000SA,2022M07,Food products,Producer Price Index (PPI),2022M07,124.8
10,000000SA,2022M08,Food products,Producer Price Index (PPI),2022M08,125.2
10,000000SA,2022M09,Food products,Producer Price Index (PPI),2022M09,126.6
10,000000SA,2022M10,Food products,Producer Price Index (PPI),2022M10,128.4
10,000000SA,2022M11,Food products,Producer Price Index (PPI),2022M11,128.6
10,000000SA,2022M12,Food products,Producer Price Index (PPI),2022M12,129.4
10,000000SA,2023M01,Food products,Producer Price Index (PPI),2023M01,132.5
10,000000SA,2023M02,Food products,Producer Price Index (PPI),2023M02,133.5
10,000000SA,2023M03,Food products,Producer Price Index (PPI),2023M03,134.7
10,000000SA,2023M04,Food products,Producer Price Index (PPI),2023M04,134.1
10,000000SA,2023M05,Food products,Producer Price Index (PPI),2023M05,134
10,000000SA,2023M06,Food products,Producer Price Index (PPI),2023M06,134.3
10,000000SA,2023M07,Food products,Producer Price Index (PPI),2023M07,134.3
10,000000SA,2023M08,Food products,Producer Price Index (PPI),2023M08,133.8
10,000000SA,2023M09,Food products,Producer Price Index (PPI),2023M09,132.5
10,000000SA,2023M10,Food products,Producer Price Index (PPI),2023M10,132.6
10,000000SA,2023M11,Food products,Producer Price Index (PPI),2023M11,131.7
10,000000SA,2023M12,Food products,Producer Price Index (PPI),2023M12,131.7
10,000000SA,2024M01,Food products,Producer Price Index (PPI),2024M01,132.1
10,000000SA,2024M02,Food products,Producer Price Index (PPI),2024M02,133.3
10,000000SA,2024M03,Food products,Producer Price Index (PPI),2024M03,133.5
10,000000SA,2024M04,Food products,Producer Price Index (PPI),2024M04,134.9
10,000000SA,2024M05,Food products,Producer Price Index (PPI),2024M05,136
10,000000SA,2024M06,Food products,Producer Price Index (PPI),2024M06,136.1
10,000000SA,2024M07,Food products,Producer Price Index (PPI),2024M07,135.7
10,000000SA,2024M08,Food products,Producer Price Index (PPI),2024M08,136.2
10,000000SA,2024M09,Food products,Producer Price Index (PPI),2024M09,136.1
10,000000SA,2024M10,Food products,Producer Price Index (PPI),2024M10,136.9
10,000000SA,2024M11,Food products,Producer Price Index (PPI),2024M11,138.5
10,000000SA,2024M12,Food products,Producer Price Index (PPI),2024M12,139.7
10,000000SA,2025M01,Food products,Producer Price Index (PPI),2025M01,140.4
10,000000SA,2025M02,Food products,Producer Price Index (PPI),2025M02,141.1
10,000000SA,2025M03,Food products,Producer Price Index (PPI),2025M03,142.2
10,000000SA,2025M04,Food products,Producer Price Index (PPI),2025M04,144
10,000000SA,2025M05,Food products,Producer Price Index (PPI),2025M05,144.1
10,000000SA,2025M06,Food products,Producer Price Index (PPI),2025M06,144.6
10,000000SA,2025M07,Food products,Producer Price Index (PPI),2025M07,144.6
10,000000SA,2025M08,Food products,Producer Price Index (PPI),2025M08,144.8
10,000000SA,2025M09,Food products,Producer Price Index (PPI),2025M09,145.2
10,000000SA,2025M10,Food products,Producer Price Index (PPI),2025M10,144.2
10,000000SA,2025M11,Food products,Producer Price Index (PPI),2025M11,145.2
10,000000SA,2025M12,Food products,Producer Price Index (PPI),2025M12,144.4
10,000000SA,2026M01,Food products,Producer Price Index (PPI),2026M01,145
